track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_x,track_name,external_urls_tracks,track_artist_id,artist_name,followers number,images_artists,external_urls_artists,track_album_id,album_name,release_date,image_album,external_urls_albums,duration_ms_y,explicit,genres
0W4NhJhcqKCqEP2GIpDCDq,0.688,0.519,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714,255333,Love,https://open.spotify.com/track/0W4NhJhcqKCqEP2GIpDCDq,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,4173007,https://i.scdn.co/image/ab6761610000e5eb1ab13fdacbb8017ec4087ca9,https://open.spotify.com/artist/1vfezMIyCr4XUdYRaKIKi3,4zEAsP0RIfbGARdtsgAaUV,The Way It Is,2005-01-01,https://i.scdn.co/image/ab67616d0000b2732cc2323c681b3f84cdc8379a,https://open.spotify.com/album/4zEAsP0RIfbGARdtsgAaUV,255333,False,"hip hop, R&B, pop, r&b"
0qcjuYtMWhBjXg0Xwt5SzS,0.94,0.633,-3.56,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,248680,Just Lose It,https://open.spotify.com/track/0qcjuYtMWhBjXg0Xwt5SzS,7dGJo4pcD2V6oG8kP0tJRR,Eminem,99037760,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),2004-11-12,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,https://open.spotify.com/album/1kTlYbs28MXw7hwO0NLYif,248680,True,"hip hop, rap"
2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334666,Snow (Hey Oh),https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,22291457,https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,7xl50xr9NDkd3i2kBbzsNZ,Stadium Arcadium,2006-05-09,https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517,https://open.spotify.com/album/7xl50xr9NDkd3i2kBbzsNZ,334666,False,"alternative rock, funk rock, rock"
3GhuNU58hVUuzKY7LHmFRB,0.969,0.701,-7.503,0.156,0.14,0.00161,0.201,0.905,121.392,289373,4 My People (feat. Eve),https://open.spotify.com/track/3GhuNU58hVUuzKY7LHmFRB,2wIVse2owClT7go1WT98tk,Missy Elliott,2635374,https://i.scdn.co/image/ab6761610000e5ebf6691f40d906f097e9fbaa4c,https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk,20t54K6C80QQH7vbcpfJcP,Miss E... So Addictive,2001-05-14,https://i.scdn.co/image/ab67616d0000b2732e3969990abe1229c0879a7b,https://open.spotify.com/album/20t54K6C80QQH7vbcpfJcP,289373,True,"hip hop, R&B, pop"
3xgT3xIlFGqZjYW9QlhJWp,0.741,0.52,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171029,Dancing With A Stranger (with Normani),https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp,2wY79sveU1sp5g7SokKOiI,Sam Smith,25572209,https://i.scdn.co/image/ab6761610000e5ebc4c97d96c08e4bb7c5f574aa,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,5XCBX16KNYsAe7V5hQV9mC,Love Goes,2020-10-30,https://i.scdn.co/image/ab67616d0000b2730d1f3930676c34a23dbf5c46,https://open.spotify.com/album/5XCBX16KNYsAe7V5hQV9mC,171029,False,"soft pop, pop"
4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,-5.482,0.275,0.0651,0.0,0.087,0.52,170.142,173600,Plain Jane,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,4111468,https://i.scdn.co/image/ab6761610000e5eb11b1fd4dfaa772c272ac98ec,https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL,0tQ7Iu6EicQTPyhYRNWjaT,Still Striving,2017-08-18,https://i.scdn.co/image/ab67616d0000b273d79cfa3155b50beb5dbeeb9a,https://open.spotify.com/album/0tQ7Iu6EicQTPyhYRNWjaT,173600,True,"hip hop, pop, rap"
5D6cznbACG8Ac2lniJpcnF,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,165853,The Middle,https://open.spotify.com/track/5D6cznbACG8Ac2lniJpcnF,3Ayl7mCk0nScecqOzvNp6s,Jimmy Eat World,1709726,https://i.scdn.co/image/ab6761610000e5eb0dc33cfd207772f8e2f6b46f,https://open.spotify.com/artist/3Ayl7mCk0nScecqOzvNp6s,5TKAtS5ctVf4vchOeyz9xg,00's Rock,2020-05-08,https://i.scdn.co/image/ab67616d0000b27305c8240ea434d0dd56334fa0,https://open.spotify.com/album/5TKAtS5ctVf4vchOeyz9xg,166040,False,"pop punk, emo pop, emo, rock, pop"
5Nmv83YDwNckR2NYuO9nyk,0.584,0.889,-5.941,0.0343,0.0462,0.828,0.309,0.464,126.04,199906,Levels - Radio Edit,https://open.spotify.com/track/5Nmv83YDwNckR2NYuO9nyk,1vCWHaC5f2uS3yhpwWbIA6,Avicii,23490043,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,1z84SBIrua7krJWc5xX9BU,Football Party 2021,2021-06-18,https://i.scdn.co/image/ab67616d0000b273469ed92951169010bb070e28,https://open.spotify.com/album/1z84SBIrua7krJWc5xX9BU,201933,False,"Dance/Electronic, edm, pop"
6Kq1yndz0c1bDRqmvplOKn,0.774,0.626,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475,Attention,https://open.spotify.com/track/6Kq1yndz0c1bDRqmvplOKn,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,24311449,https://i.scdn.co/image/ab6761610000e5ebd5594e3ae145bbb2c096366d,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,1RUji87NfqvHOXU69EmRTF,10s Pop,2022-12-16,https://i.scdn.co/image/ab67616d0000b273e565cebe926e394a2f58536e,https://open.spotify.com/album/1RUji87NfqvHOXU69EmRTF,208786,False,"soft pop, pop"
6pRlvElRLnDiJW4yazY9lh,0.689,0.481,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229525,See You Again (feat. Charlie Puth),https://open.spotify.com/track/6pRlvElRLnDiJW4yazY9lh,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,11952208,https://i.scdn.co/image/ab6761610000e5ebc66b0a8c3268f0b6556f64a8,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop,7E4Zm8sWQgkGyOm2v4d9D4,Nine Track Mind (Deluxe Edition),2016-11-11,https://i.scdn.co/image/ab67616d0000b27366345dc4318d575d294e3567,https://open.spotify.com/album/7E4Zm8sWQgkGyOm2v4d9D4,229525,False,"hip hop, pop, rap"
